date,active_addresses
2010-10-01,693.0
2010-10-02,680.0
2010-10-03,550.0
2010-10-04,690.0
2010-10-05,577.0
2010-10-06,522.0
2010-10-07,489.0
2010-10-08,665.0
2010-10-09,607.0
2010-10-10,457.0
2010-10-11,475.0
2010-10-12,494.0
2010-10-13,756.0
2010-10-14,439.0
2010-10-15,406.0
2010-10-16,703.0
2010-10-17,525.0
2010-10-18,731.0
2010-10-19,1162.0
2010-10-20,944.0
2010-10-21,817.0
2010-10-22,823.0
2010-10-23,669.0
2010-10-24,665.0
2010-10-25,563.0
2010-10-26,639.0
2010-10-27,914.0
2010-10-28,805.0
2010-10-29,654.0
2010-10-30,428.0
2010-10-31,403.0
2010-11-01,421.0
2010-11-02,288.0
2010-11-03,394.0
2010-11-04,423.0
2010-11-05,647.0
2010-11-06,414.0
2010-11-07,486.0
2010-11-08,1363.0
2010-11-09,468.0
2010-11-10,469.0
2010-11-11,396.0
2010-11-12,299.0
2010-11-13,372.0
2010-11-14,708.0
2010-11-15,4217.0
2010-11-16,3189.0
2010-11-17,459.0
2010-11-18,405.0
2010-11-19,497.0
2010-11-20,668.0
2010-11-21,620.0
2010-11-22,466.0
2010-11-23,525.0
2010-11-24,801.0
2010-11-25,740.0
2010-11-26,1018.0
2010-11-27,661.0
2010-11-28,538.0
2010-11-29,710.0
2010-11-30,602.0
2010-12-01,938.0
2010-12-02,641.0
2010-12-03,708.0
2010-12-04,497.0
2010-12-05,488.0
2010-12-06,507.0
2010-12-07,926.0
2010-12-08,687.0
2010-12-09,632.0
2010-12-10,491.0
2010-12-11,823.0
2010-12-12,1026.0
2010-12-13,1539.0
2010-12-14,966.0
2010-12-15,906.0
2010-12-16,781.0
2010-12-17,634.0
2010-12-18,701.0
2010-12-19,909.0
2010-12-20,1304.0
2010-12-21,900.0
2010-12-22,1057.0
2010-12-23,784.0
2010-12-24,707.0
2010-12-25,915.0
2010-12-26,885.0
2010-12-27,985.0
2010-12-28,868.0
2010-12-29,830.0
2010-12-30,926.0
2010-12-31,741.0
2011-01-01,1071.0
2011-01-02,1097.0
2011-01-03,1405.0
2011-01-04,1111.0
2011-01-05,1497.0
2011-01-06,1166.0
2011-01-07,1269.0
2011-01-08,1439.0
2011-01-09,1390.0
2011-01-10,1458.0
2011-01-11,1564.0
2011-01-12,1248.0
2011-01-13,1700.0
2011-01-14,1622.0
2011-01-15,1425.0
2011-01-16,1501.0
2011-01-17,1356.0
2011-01-18,1462.0
2011-01-19,1523.0
2011-01-20,1474.0
2011-01-21,1931.0
2011-01-22,2184.0
2011-01-23,1918.0
2011-01-24,2090.0
2011-01-25,1410.0
2011-01-26,1771.0
2011-01-27,1472.0
2011-01-28,1790.0
2011-01-29,2012.0
2011-01-30,3365.0
2011-01-31,2089.0
2011-02-01,1901.0
2011-02-02,1491.0
2011-02-03,1273.0
2011-02-04,1505.0
2011-02-05,1514.0
2011-02-06,1345.0
2011-02-07,1389.0
2011-02-08,1472.0
2011-02-09,2127.0
2011-02-10,3556.0
2011-02-11,4302.0
2011-02-12,3312.0
2011-02-13,3244.0
2011-02-14,4141.0
2011-02-15,3347.0
2011-02-16,2995.0
2011-02-17,3527.0
2011-02-18,3589.0
2011-02-19,2904.0
2011-02-20,3176.0
2011-02-21,3317.0
2011-02-22,3759.0
2011-02-23,3811.0
2011-02-24,3644.0
2011-02-25,3465.0
2011-02-26,3482.0
2011-02-27,3685.0
2011-02-28,3029.0
2011-03-01,5342.0
2011-03-02,3528.0
2011-03-03,4893.0
2011-03-04,3311.0
2011-03-05,3547.0
2011-03-06,3340.0
2011-03-07,3410.0
2011-03-08,3893.0
2011-03-09,3353.0
2011-03-10,2916.0
2011-03-11,3072.0
2011-03-12,3286.0
2011-03-13,2864.0
2011-03-14,2899.0
2011-03-15,3265.0
2011-03-16,3221.0
2011-03-17,3133.0
2011-03-18,3336.0
2011-03-19,2955.0
2011-03-20,4447.0
2011-03-21,4824.0
2011-03-22,3967.0
2011-03-23,6561.0
2011-03-24,4450.0
2011-03-25,4172.0
2011-03-26,4838.0
2011-03-27,4933.0
2011-03-28,5444.0
2011-03-29,4473.0
2011-03-30,3574.0
2011-03-31,4121.0
2011-04-01,3259.0
2011-04-02,3350.0
2011-04-03,3571.0
2011-04-04,4753.0
2011-04-05,4246.0
2011-04-06,3806.0
2011-04-07,3454.0
2011-04-08,3674.0
2011-04-09,3584.0
2011-04-10,3547.0
2011-04-11,4109.0
2011-04-12,4258.0
2011-04-13,4764.0
2011-04-14,6169.0
2011-04-15,4150.0
2011-04-16,5128.0
2011-04-17,4418.0
2011-04-18,5632.0
2011-04-19,6311.0
2011-04-20,5358.0
2011-04-21,4042.0
2011-04-22,4237.0
2011-04-23,4979.0
2011-04-24,4821.0
2011-04-25,5053.0
2011-04-26,6053.0
2011-04-27,7488.0
2011-04-28,6130.0
