date,addresses_nonzero_balance
2009-01-03,1.0
2009-01-09,15.0
2009-01-10,76.0
2009-01-11,169.0
2009-01-12,268.0
2009-01-13,391.0
2009-01-14,518.0
2009-01-15,643.0
2009-01-16,749.0
2009-01-17,858.0
2009-01-18,963.0
2009-01-19,1063.0
2009-01-20,1170.0
2009-01-21,1271.0
2009-01-22,1352.0
2009-01-23,1428.0
2009-01-24,1620.0
2009-01-25,1811.0
2009-01-26,1887.0
2009-01-27,1982.0
2009-01-28,2094.0
2009-01-29,2203.0
2009-01-30,2320.0
2009-01-31,2439.0
2009-02-01,2551.0
2009-02-02,2679.0
2009-02-03,2828.0
2009-02-04,2947.0
2009-02-05,3073.0
2009-02-06,3195.0
2009-02-07,3305.0
2009-02-08,3437.0
2009-02-09,3527.0
2009-02-10,3647.0
2009-02-11,3768.0
2009-02-12,3887.0
2009-02-13,4011.0
2009-02-14,4147.0
2009-02-15,4265.0
2009-02-16,4357.0
2009-02-17,4474.0
2009-02-18,4592.0
2009-02-19,4700.0
2009-02-20,4822.0
2009-02-21,4936.0
2009-02-22,5050.0
2009-02-23,5158.0
2009-02-24,5264.0
2009-02-25,5369.0
2009-02-26,5476.0
2009-02-27,5555.0
2009-02-28,5647.0
2009-03-01,5752.0
2009-03-02,5860.0
2009-03-03,5957.0
2009-03-04,6037.0
2009-03-05,6141.0
2009-03-06,6258.0
2009-03-07,6367.0
2009-03-08,6458.0
2009-03-09,6566.0
2009-03-10,6673.0
2009-03-11,6787.0
2009-03-12,6903.0
2009-03-13,7003.0
2009-03-14,7113.0
2009-03-15,7236.0
2009-03-16,7309.0
2009-03-17,7423.0
2009-03-18,7523.0
2009-03-19,7645.0
2009-03-20,7751.0
2009-03-21,7801.0
2009-03-22,7909.0
2009-03-23,8039.0
2009-03-24,8144.0
2009-03-25,8261.0
2009-03-26,8350.0
2009-03-27,8456.0
2009-03-28,8555.0
2009-03-29,8671.0
2009-03-30,8791.0
2009-03-31,8869.0
2009-04-01,8983.0
2009-04-02,9098.0
2009-04-03,9214.0
2009-04-04,9327.0
2009-04-05,9440.0
2009-04-06,9549.0
2009-04-07,9649.0
2009-04-08,9754.0
2009-04-09,9853.0
2009-04-10,9961.0
2009-04-11,10075.0
2009-04-12,10186.0
2009-04-13,10302.0
2009-04-14,10426.0
2009-04-15,10539.0
2009-04-16,10662.0
2009-04-17,10774.0
2009-04-18,10900.0
2009-04-19,11011.0
2009-04-20,11016.0
2009-04-21,11140.0
2009-04-22,11261.0
2009-04-23,11336.0
2009-04-24,11451.0
2009-04-25,11569.0
2009-04-26,11666.0
2009-04-27,11770.0
2009-04-28,11887.0
2009-04-29,11995.0
2009-04-30,12126.0
2009-05-01,12247.0
2009-05-02,12362.0
2009-05-03,12469.0
2009-05-04,12567.0
2009-05-05,12692.0
2009-05-06,12827.0
2009-05-07,12949.0
2009-05-08,13056.0
2009-05-09,13134.0
2009-05-10,13219.0
2009-05-11,13339.0
2009-05-12,13469.0
2009-05-13,13581.0
2009-05-14,13719.0
2009-05-15,13845.0
2009-05-16,13964.0
2009-05-17,14091.0
2009-05-18,14209.0
2009-05-19,14295.0
2009-05-20,14415.0
2009-05-21,14497.0
2009-05-22,14558.0
2009-05-23,14590.0
2009-05-24,14690.0
2009-05-25,14799.0
2009-05-26,14924.0
2009-05-27,15043.0
2009-05-28,15138.0
2009-05-29,15184.0
2009-05-30,15293.0
2009-05-31,15389.0
2009-06-01,15461.0
2009-06-02,15572.0
2009-06-03,15643.0
2009-06-04,15709.0
2009-06-05,15739.0
2009-06-06,15767.0
2009-06-07,15783.0
2009-06-08,15865.0
2009-06-09,15956.0
2009-06-10,16038.0
2009-06-11,16127.0
