date,etf_flows_usd
2024-01-11,655300000
2024-01-12,203000000
2024-01-15,0
2024-01-16,-52700000
2024-01-17,453800000
2024-01-18,-126600000
2024-01-19,43600000
2024-01-22,-87400000
2024-01-23,-106099999
2024-01-24,-158300000
2024-01-25,-79800000
2024-01-26,14800000
2024-01-29,255100000
2024-01-30,247300000
2024-01-31,197600000
2024-02-01,38500000
2024-02-02,80000000
2024-02-05,68100000
2024-02-06,33600000
2024-02-07,146000000
2024-02-08,405000000
2024-02-09,541500000
2024-02-12,493400000
2024-02-13,636300000
2024-02-14,339700001
2024-02-15,477400000
2024-02-16,330300000
2024-02-19,0
2024-02-20,135600000
2024-02-21,-35600000
2024-02-22,251400000
2024-02-23,232500000
2024-02-26,519900000
2024-02-27,576900000
2024-02-28,673400000
2024-02-29,92300000
2024-03-01,-139600000
2024-03-04,562700000
2024-03-05,648300000
2024-03-06,332000000
2024-03-07,472500000
2024-03-08,223000000
2024-03-11,505400000
2024-03-12,1045000000
2024-03-13,683699999
2024-03-14,132700000
2024-03-15,198800000
2024-03-18,-154300000
2024-03-19,-326200000
2024-03-20,-261500000
2024-03-21,-94000000
2024-03-22,-51600000
2024-03-25,15400000
2024-03-26,418000000
2024-03-27,243500000
2024-03-28,182800000
2024-03-29,0
2024-04-01,-85700000
2024-04-02,39500000
2024-04-03,113500000
2024-04-04,213400000
2024-04-05,203000000
2024-04-08,-223800000
2024-04-09,-19400001
2024-04-10,123699999
2024-04-11,91300000
2024-04-12,-55100000
2024-04-15,-36700000
2024-04-16,-58000000
2024-04-17,-165000000
2024-04-18,-4300000
2024-04-19,59700000
2024-04-22,62200000
2024-04-23,31599999
2024-04-24,-120600000
2024-04-25,-217600000
2024-04-26,-83600000
2024-04-29,-51600000
2024-04-30,-161600000
2024-05-01,-563700000
2024-05-02,-34400000
2024-05-03,378300000
2024-05-06,217000000
2024-05-07,-15700001
2024-05-08,11500000
2024-05-09,-11300000
2024-05-10,-84700000
2024-05-13,66000000
2024-05-14,100500000
2024-05-15,303000000
2024-05-16,257299999
2024-05-17,221500000
2024-05-20,237200000
2024-05-21,305700000
2024-05-22,154000000
2024-05-23,107900000
2024-05-24,251899999
2024-05-27,0
2024-05-28,44999999
2024-05-29,28300000
2024-05-30,48800000
2024-05-31,48800000
2024-06-03,105100000
2024-06-04,886600000
2024-06-05,488100000
2024-06-06,217700000
2024-06-07,131000000
2024-06-10,-64900000
2024-06-11,-200400000
2024-06-12,100800000
2024-06-13,-226200000
2024-06-14,-189900000
2024-06-17,-145900000
2024-06-18,-152400000
2024-06-19,0
2024-06-20,-139900000
2024-06-21,-105900000
2024-06-24,-174499999
2024-06-25,31000000
2024-06-26,21400000
2024-06-27,11800000
2024-06-28,73000000
2024-07-01,129500000
2024-07-02,-13700000
2024-07-03,-20500000
2024-07-04,0
2024-07-05,143100000
2024-07-08,294800000
2024-07-09,216400000
2024-07-10,147400001
2024-07-11,78900000
2024-07-12,310100000
2024-07-15,300900000
2024-07-16,422500000
2024-07-17,53300000
