date,exchange_reserves
2010-11-02,5000.0
2010-11-03,5000.0
2010-11-04,5000.0
2010-11-05,5000.0
2010-11-06,5000.0
2010-11-07,5000.0
2010-11-08,5000.0
2010-11-09,5000.0
2010-11-10,5000.0
2010-11-11,5000.0
2010-11-12,5000.0
2010-11-13,5000.0
2010-11-14,5000.0
2010-11-15,5000.0
2010-11-16,5000.0
2010-11-17,5000.0
2010-11-18,5000.0
2010-11-19,5000.0
2010-11-20,5000.0
2010-11-21,5000.0
2010-11-22,5000.0
2010-11-23,5000.0
2010-11-24,5000.0
2010-11-25,5000.0
2010-11-26,5000.0
2010-11-27,5000.0
2010-11-28,5000.0
2010-11-29,5000.0
2010-11-30,5000.0
2010-12-01,5000.0
2010-12-02,5000.0
2010-12-03,5000.0
2010-12-04,5000.0
2010-12-05,11900.0
2010-12-06,11900.0
2010-12-07,11900.0
2010-12-08,19442.05
2010-12-09,19442.05
2010-12-10,19442.05
2010-12-11,19442.05
2010-12-12,19442.05
2010-12-13,19442.05
2010-12-14,19442.05
2010-12-15,19442.05
2010-12-16,19442.05
2010-12-17,19442.05
2010-12-18,19442.05
2010-12-19,19442.05
2010-12-20,19442.05
2010-12-21,19442.05
2010-12-22,24442.05
2010-12-23,24442.05
2010-12-24,24442.05
2010-12-25,24442.05
2010-12-26,31121.93
2010-12-27,31121.93
2010-12-28,31121.93
2010-12-29,31121.93
2010-12-30,31121.93
2010-12-31,31121.93
2011-01-01,31121.93
2011-01-02,31121.93
2011-01-03,31121.93
2011-01-04,31121.93
2011-01-05,31121.93
2011-01-06,31121.93
2011-01-07,31121.93
2011-01-08,31121.93
2011-01-09,31121.93
2011-01-10,31121.93
2011-01-11,31121.93
2011-01-12,31121.93
2011-01-13,31121.93
2011-01-14,31121.93
2011-01-15,31121.93
2011-01-16,31121.93
2011-01-17,31121.93
2011-01-18,31121.93
2011-01-19,37721.93
2011-01-20,37721.93
2011-01-21,37721.93
2011-01-22,37721.93
2011-01-23,37721.93
2011-01-24,37721.93
2011-01-25,37721.93
2011-01-26,37721.93
2011-01-27,37721.93
2011-01-28,37721.93
2011-01-29,37721.93
2011-01-30,37721.93
2011-01-31,37721.93
2011-02-01,42121.93
2011-02-02,52121.93
2011-02-03,57121.93
2011-02-04,57121.93
2011-02-05,57121.93
2011-02-06,61421.93
2011-02-07,66421.93
2011-02-08,66421.93
2011-02-09,66421.93
2011-02-10,66421.93
2011-02-11,66421.93
2011-02-12,66421.93
2011-02-13,66421.93
2011-02-14,66421.93
2011-02-15,76421.93
2011-02-16,76421.93
2011-02-17,76421.93
2011-02-18,76421.93
2011-02-19,76421.93
2011-02-20,76421.93
2011-02-21,76421.93
2011-02-22,76421.93
2011-02-23,76421.93
2011-02-24,76421.93
2011-02-25,76421.93
2011-02-26,76421.93
2011-02-27,76421.93
2011-02-28,76421.93
2011-03-01,76421.93
2011-06-11,1.07
2011-06-12,4.52
2011-06-20,442000.0
2011-06-21,442000.0
2011-06-22,442000.0
2011-06-23,442000.0
2011-06-24,442000.0
2011-06-25,442000.0
2011-06-26,442000.0
2011-06-27,442004.7
2011-06-28,442004.7
2011-06-29,442004.7
2011-06-30,442005.7
2011-07-01,442005.7
2011-07-02,442005.7
2011-07-03,442006.71
2011-07-04,442006.71
2011-07-05,442002.02
2011-07-06,442002.02
2011-07-07,442003.04
2011-07-08,442003.04
2011-07-09,442003.04
2011-07-10,442004.04
2011-07-11,442005.11
2011-07-12,442006.11
2011-07-13,442006.11
2011-07-14,442008.19
2011-07-15,442010.13386156
2011-07-16,442016.84704905
2011-07-17,442025.88772389
2011-07-18,442027.47035716
2011-07-19,32142.64575758
2011-07-20,32149.03527822
2011-07-21,32151.2285488
2011-07-22,32143.64575758
2011-07-23,32143.63575758
2011-07-24,32143.63575758
2011-07-25,32145.82635011
2011-07-26,32160.86291304
2011-07-27,32144.65575758
2011-07-28,32148.66575758
2011-07-29,32149.66575758
2011-07-30,20072.67575758
2011-07-31,20072.67575758
2011-08-01,20072.67575758
2011-08-02,20073.68575758
2011-08-03,20074.79202331
2011-08-04,20072.67575758
2011-08-05,20074.14192365
2011-08-06,20073.27525758
2011-08-07,20072.67575758
2011-08-08,20073.93525758
2011-08-09,20072.79525758
2011-08-10,20082.25695055
2011-08-11,20086.37265698
2011-08-12,20084.92541805
2011-08-13,20073.71991352
2011-08-14,20072.88575758
2011-08-15,20074.79450525
2011-08-16,20080.02184398
2011-08-17,20087.54429317
2011-08-18,20076.22325758
2011-08-19,20077.99575758
2011-08-20,20079.47443555
2011-08-21,20090.4653561
2011-08-22,20102.67683348
2011-08-23,20118.25345067
2011-08-24,20122.94392617
2011-08-25,20129.70447213
2011-08-26,20127.64864294
2011-08-27,20085.58949799
2011-08-28,18.38006553
2011-08-29,18.1795
2011-08-30,19.23596495
2011-08-31,20.56546495
2011-09-01,19.19771764
2011-09-02,18.15596495
2011-09-03,20.22060169
2011-09-04,29.69622123
2011-09-05,24.84849774
2011-09-06,26.88797768
2011-09-07,27.86714797
2011-09-08,26.77486664
2011-09-09,29.46369921
2011-09-10,27.83474276
2011-09-11,17.22454166
2011-09-12,600019.3426989601
2011-09-13,605022.1957289501
2011-09-14,605018.21806637
2011-09-15,605025.16012578
2011-09-16,605043.38606938
2011-09-17,605027.4822257201
2011-09-18,605023.5351916801
2011-09-19,605038.93721818
2011-09-20,605023.24270264
2011-09-21,605030.02603996
2011-09-22,605027.26377357
2011-09-23,605027.8389857099
2011-09-24,605022.30974459
2011-09-25,605022.31974459
2011-09-26,605023.32002159
2011-09-27,605046.32002159
2011-09-28,605022.91959781
2011-09-29,605023.06639141
2011-09-30,605024.5024889801
2011-10-01,605023.3749704099
2011-10-02,605107.19080543
2011-10-03,605035.44301375
2011-10-04,605024.3221967
2011-10-05,605024.3321967
2011-10-06,605027.4212663299
2011-10-07,605048.39235181
2011-10-08,605056.81661984
2011-10-09,605068.7144019699
2011-10-10,605026.37675947
2011-10-11,605028.4665048
2011-10-12,605032.5001364
2011-10-13,605029.12795675
2011-10-14,605029.4212302599
2011-10-15,605048.6928656399
2011-10-16,605093.08150674
2011-10-17,605120.77923534
2011-10-18,605256.16052376
2011-10-19,605243.56925378
2011-10-20,605147.23286556
2011-10-21,605133.67627916
2011-10-22,605120.36933919
2011-10-23,605116.3480594
2011-10-24,605123.48759069
2011-10-25,605354.0454852501
2011-10-26,605293.90620579
2011-10-27,605296.30919011
2011-10-28,606041.32281813
2011-10-29,605232.39818877
2011-10-30,605225.8877649
2011-10-31,605212.08892847
2011-11-01,605298.11381057
2011-11-02,605287.2452847499
2011-11-03,605416.6307377099
2011-11-04,605238.5324758999
2011-11-05,605247.3769953699
2011-11-06,605239.20830441
2011-11-07,605318.30588
2011-11-08,605352.56615387
2011-11-09,605340.8431614599
2011-11-10,605380.32319525
2011-11-11,605305.0506013101
2011-11-12,605393.00984205
2011-11-13,605257.5775315
2011-11-14,605288.6856836
2011-11-15,605275.33851943
2011-11-16,605189.68835322
2011-11-17,200223.08381086
2011-11-18,200226.27136401
2011-11-19,200451.34805318
2011-11-20,200649.08117168
2011-11-21,200576.71939078
2011-11-22,200515.58074594
2011-11-23,200385.58873439
2011-11-24,200397.69790428
2011-11-25,200245.62437559
2011-11-26,200327.71939071
2011-11-27,200380.88620319
2011-11-28,200242.96222362
2011-11-29,200088.1403068
2011-11-30,200075.48820731
2011-12-01,200056.24137161
2011-12-02,200035.26800733
2011-12-03,200123.83602272
2011-12-04,200167.93875821
2011-12-05,200239.2911315
2011-12-06,200641.92394005
2011-12-07,200702.29308631
2011-12-08,200603.24731739
2011-12-09,200624.28026546
2011-12-10,200589.37424535
2011-12-11,200267.11341906
2011-12-12,200251.6985068
2011-12-13,200219.16423555
2011-12-14,200372.26801875
2011-12-15,200420.54878605
2011-12-16,200572.31334454
2011-12-17,200549.60696355
2011-12-18,200647.11058489
2011-12-19,200643.49410018
2011-12-20,200803.73176396
2011-12-21,201256.1227908
2011-12-22,200702.25508378
2011-12-23,200664.58558051
2011-12-24,200571.28279007
2011-12-25,200646.74394248
2011-12-26,200547.88637104
2011-12-27,200488.65399215
2011-12-28,200377.82764344
2011-12-29,200441.10472227
2011-12-30,200380.9963183
2011-12-31,200683.81225642
2012-01-01,200899.50394292
2012-01-02,200945.00582247
2012-01-03,201036.74756307
2012-01-04,201400.66095774
2012-01-05,201064.64093632
2012-01-06,201106.48639931
2012-01-07,201097.64602549
2012-01-08,201368.29799059
2012-01-09,201260.1720185
2012-01-10,200784.11333088
2012-01-11,201317.75649743
2012-01-12,201123.38252133
2012-01-13,201136.61831629
2012-01-14,201053.63455872
2012-01-15,202013.14738743
2012-01-16,201316.80003599
2012-01-17,201051.78867476
2012-01-18,201182.64156359
2012-01-19,201143.11448999
2012-01-20,201723.61515829
2012-01-21,201196.45883174
2012-01-22,201289.33078389
2012-01-23,201424.43362494
2012-01-24,201356.93614596
2012-01-25,201559.26128139
2012-01-26,201445.23894638
2012-01-27,201184.52269993
2012-01-28,201041.88676959
2012-01-29,201135.2968387
2012-01-30,201181.42950663
2012-01-31,201131.28935367
2012-02-01,201018.97318837
2012-02-02,201413.48343484
2012-02-03,201542.69074113
2012-02-04,201007.85497243
2012-02-05,201234.93951248
2012-02-06,201252.17433254
2012-02-07,201790.27934696
2012-02-08,202221.90320787
2012-02-09,202341.61409541
2012-02-10,202373.99601314
2012-02-11,202604.27766703
2012-02-12,202368.39995176
2012-02-13,202840.2977694
2012-02-14,202651.00885815
2012-02-15,358427.89713207
2012-02-16,212266.47310806
2012-02-17,212258.56309554
2012-02-18,212594.51953622
2012-02-19,212650.88646935
2012-02-20,212502.61670554
2012-02-21,212297.36597228
2012-02-22,219078.83390708
2012-02-23,219047.39694962
2012-02-24,219370.21170986
2012-02-25,219288.38522685
2012-02-26,219171.73028362
2012-02-27,219523.88067902
2012-02-28,218962.45988139
2012-02-29,218992.23096143
2012-03-01,219417.36123271
2012-03-02,202900.98563867
2012-03-03,202808.99094701
2012-03-04,202830.529677
2012-03-05,203394.65329973
2012-03-06,203266.22361418
2012-03-07,202484.05270232
2012-03-08,202522.28511693
2012-03-09,202694.16024325
2012-03-10,202566.15778138
2012-03-11,202844.75870285
2012-03-12,202788.43762534
2012-03-13,202972.58870083
2012-03-14,203523.7179127
2012-03-15,204388.42674233
2012-03-16,202884.31960222
2012-03-17,202469.36381446
2012-03-18,202652.59129676
2012-03-19,202132.83918673
2012-03-20,203147.69510208
2012-03-21,202685.26879252
2012-03-22,202970.79967108
2012-03-23,202675.10798661
2012-03-24,202586.91440835
2012-03-25,203133.44231814
2012-03-26,203067.60947207
2012-03-27,203389.47296317
2012-03-28,203419.17163947
2012-03-29,202457.16856853
2012-03-30,202635.18395326
2012-03-31,203642.42143913
2012-04-01,203365.50750259
2012-04-02,204249.89277425
2012-04-03,203357.66242875
2012-04-04,203561.62567198
2012-04-05,203157.26699958
2012-04-06,204107.06037887
2012-04-07,203038.67349301
2012-04-08,203431.65885417
2012-04-09,203501.04406286
2012-04-10,203550.14531064
2012-04-11,204064.92779126
2012-04-12,203799.2799382
2012-04-13,204174.1607358
2012-04-14,205051.52139237
2012-04-15,204143.87575751
2012-04-16,204219.86794467
2012-04-17,202630.2460579
2012-04-18,201548.47748495
2012-04-19,201639.64031572
2012-04-20,201709.46300922
2012-04-21,201748.78063471
2012-04-22,201454.83655407
2012-04-23,202703.1864262
2012-04-24,201679.42448133
2012-04-25,202674.41117183
2012-04-26,202861.95741191
2012-04-27,202286.18415586
2012-04-28,202491.30728203
2012-04-29,202635.15108929
2012-04-30,203002.6903334
2012-05-01,203053.74718153
2012-05-02,203238.35513811
2012-05-03,203649.41636868
2012-05-04,202777.00903919
2012-05-05,202593.73268663
2012-05-06,203615.17216667
2012-05-07,203212.83685667
2012-05-08,204278.44203175
2012-05-09,203989.16502748
2012-05-10,203536.56448853
2012-05-11,202699.88526834
2012-05-12,202352.54577851
2012-05-13,202704.14953732
2012-05-14,202630.30903416
2012-05-15,202220.95645275
2012-05-16,201665.39676662
2012-05-17,202072.35522432
2012-05-18,202156.17273789
2012-05-19,201828.8935887
2012-05-20,201787.69174625
2012-05-21,201903.36312684
2012-05-22,201840.25175452
2012-05-23,201598.1742568
2012-05-24,200497.70559459
2012-05-25,200952.14209764
2012-05-26,201760.53199252
2012-05-27,201599.44868791
2012-05-28,200920.79953609
2012-05-29,201345.56804244
2012-05-30,203399.86701201
2012-05-31,200599.4414906
2012-06-01,201785.73357251
2012-06-02,204571.22642063
2012-06-03,203777.86968234
2012-06-04,204519.51505733
2012-06-05,202453.24745144
2012-06-06,200421.83633626
2012-06-07,200712.74299853
2012-06-08,200663.08789098
2012-06-09,200730.81023358
2012-06-10,200519.70737025
2012-06-11,201964.27126463
2012-06-12,206283.26786334
2012-06-13,205769.23479755
2012-06-14,201683.10449291
2012-06-15,201997.85419162
2012-06-16,202196.03239063
2012-06-17,203810.0523535
2012-06-18,201573.40474592
2012-06-19,201638.06075571
2012-06-20,200222.64946093
2012-06-21,200666.82450568
2012-06-22,205733.54493651
2012-06-23,202455.63448375
2012-06-24,203018.4971826
2012-06-25,202358.23780904
2012-06-26,202263.05426377
2012-06-27,201675.33861909
2012-06-28,202592.19139432
2012-06-29,202398.07667492
2012-06-30,202247.38671435
2012-07-01,202965.20277061
2012-07-02,202909.18631193
2012-07-03,204216.71168671
2012-07-04,200625.51199068
2012-07-05,201066.15582239
2012-07-06,201955.93646031
2012-07-07,201511.48925254
2012-07-08,201208.37191995
2012-07-09,201421.49069694
2012-07-10,202210.51851041
2012-07-11,201066.43504976
2012-07-12,200693.73842078
2012-07-13,202012.00695906
2012-07-14,201232.58572483
2012-07-15,201359.92313474
2012-07-16,203476.83342865
2012-07-17,201978.4046676
2012-07-18,201817.99443949
2012-07-19,202928.62642045
2012-07-20,201914.15873041
2012-07-21,202215.90112435
2012-07-22,202857.59662054
2012-07-23,202547.02257853
2012-07-24,202104.08276673
2012-07-25,204744.85218305
2012-07-26,203638.34089982
2012-07-27,204101.10691633
2012-07-28,204811.16341024
2012-07-29,204553.6558867
2012-07-30,204558.71322709
