date,global_liquidity_t
2002-12-18,0.719542
2002-12-25,0.732059
2003-01-01,0.730994
2003-01-08,0.723762
2003-01-15,0.720074
2003-01-22,0.735953
2003-01-29,0.712809
2003-02-05,0.719643
2003-02-12,0.713281
2003-02-19,0.7304
2003-02-26,0.72198
2003-03-05,0.722649
2003-03-12,0.717014
2003-03-19,0.729923
2003-03-26,0.725019
2003-04-02,0.732452
2003-04-09,0.727826
2003-04-16,0.745838
2003-04-23,0.732222
2003-04-30,0.746294
2003-05-07,0.733466
2003-05-14,0.740371
2003-05-21,0.734699
2003-05-28,0.744896
2003-06-04,0.731667
2003-06-11,0.743236
2003-06-18,0.735926
2003-06-25,0.744018
2003-07-02,0.740126
2003-07-09,0.74443
2003-07-16,0.737765
2003-07-23,0.745665
2003-07-30,0.740295
2003-08-06,0.734018
2003-08-13,0.735386
2003-08-20,0.750825
2003-08-27,0.740637
2003-09-03,0.750461
2003-09-10,0.737234
2003-09-17,0.743939
2003-09-24,0.741193
2003-10-01,0.753155
2003-10-08,0.737108
2003-10-15,0.754229
2003-10-22,0.743578
2003-10-29,0.747272
2003-11-05,0.744116
2003-11-12,0.745604
2003-11-19,0.744521
2003-11-26,0.756964
2003-12-03,0.749981
2003-12-10,0.756585
2003-12-17,0.753919
2003-12-24,0.767012
2003-12-31,0.771551
2004-01-07,0.755829
2004-01-14,0.752812
2004-01-21,0.775833
2004-01-28,0.755279
2004-02-04,0.754153
2004-02-11,0.750999
2004-02-18,0.758759
2004-02-25,0.750666
2004-03-03,0.754867
2004-03-10,0.74995
2004-03-17,0.760638
2004-03-24,0.75151
2004-03-31,0.760725
2004-04-07,0.754083
2004-04-14,0.763734
2004-04-21,0.757984
2004-04-28,0.772927
2004-05-05,0.758838
2004-05-12,0.764835
2004-05-19,0.756874
2004-05-26,0.771108
2004-06-02,0.76409
2004-06-09,0.772187
2004-06-16,0.761834
2004-06-23,0.775261
2004-06-30,0.779578
2004-07-07,0.778163
2004-07-14,0.775536
2004-07-21,0.776764
2004-07-28,0.773916
2004-08-04,0.772085
2004-08-11,0.769265
2004-08-18,0.767595
2004-08-25,0.775437
2004-09-01,0.785273
2004-09-08,0.788602
2004-09-15,0.789128
2004-09-22,0.782124
2004-09-29,0.78633
2004-10-06,0.781777
2004-10-13,0.795483
2004-10-20,0.784954
2004-10-27,0.791336
2004-11-03,0.790552
2004-11-10,0.800473
2004-11-17,0.79409
2004-11-24,0.809956
2004-12-01,0.807063
2004-12-08,0.808495
2004-12-15,0.807028
2004-12-22,0.811333
2004-12-29,0.810944
2005-01-05,0.815702
2005-01-12,0.798455
2005-01-19,0.80696
2005-01-26,0.807262
2005-02-02,0.804746
2005-02-09,0.797299
2005-02-16,0.795606
2005-02-23,0.804576
2005-03-02,0.801252
2005-03-09,0.79925
2005-03-16,0.807211
2005-03-23,0.797094
2005-03-30,0.807551
2005-04-06,0.797327
2005-04-13,0.805707
2005-04-20,0.801793
2005-04-27,0.809797
2005-05-04,0.802412
2005-05-11,0.808378
2005-05-18,0.801546
2005-05-25,0.81016
2005-06-01,0.817335
2005-06-08,0.814172
2005-06-15,0.811198
2005-06-22,0.810429
2005-06-29,0.810082
2005-07-06,0.821556
2005-07-13,0.808861
2005-07-20,0.816804
2005-07-27,0.814259
2005-08-03,0.818841
2005-08-10,0.808544
2005-08-17,0.813774
2005-08-24,0.811313
2005-08-31,0.823237
2005-09-07,0.8225
2005-09-14,0.82359
2005-09-21,0.812926
2005-09-28,0.823771
2005-10-05,0.817137
2005-10-12,0.826306
2005-10-19,0.814281
2005-10-26,0.819105
2005-11-02,0.814571
2005-11-09,0.824991
2005-11-16,0.823263
2005-11-23,0.833124
2005-11-30,0.835059
2005-12-07,0.83325
2005-12-14,0.83095
2005-12-21,0.848317
2005-12-28,0.8477
2006-01-04,0.851856
2006-01-11,0.829357
2006-01-18,0.836042
2006-01-25,0.828901
2006-02-01,0.831808
2006-02-08,0.827613
2006-02-15,0.83524
2006-02-22,0.840555
2006-03-01,0.839356
2006-03-08,0.839234
2006-03-15,0.84301
2006-03-22,0.838003
2006-03-29,0.833675
2006-04-05,0.834589
2006-04-12,0.836862
2006-04-19,0.836352
2006-04-26,0.844572
2006-05-03,0.843867
2006-05-10,0.838405
2006-05-17,0.838153
2006-05-24,0.840251
2006-05-31,0.85158
2006-06-07,0.849074
2006-06-14,0.845869
2006-06-21,0.844773
2006-06-28,0.844436
2006-07-05,0.851659
2006-07-12,0.844391
2006-07-19,0.849894
2006-07-26,0.841552
2006-08-02,0.850263
2006-08-09,0.840006
2006-08-16,0.842876
2006-08-23,0.837987
2006-08-30,0.850925
2006-09-06,0.848594
2006-09-13,0.840886
2006-09-20,0.838192
2006-09-27,0.849971
2006-10-04,0.842296
2006-10-11,0.859339
2006-10-18,0.8442
2006-10-25,0.852648
2006-11-01,0.855536
2006-11-08,0.85863
2006-11-15,0.855551
2006-11-22,0.865126
2006-11-29,0.856671
2006-12-06,0.862178
2006-12-13,0.853851
2006-12-20,0.86501
2006-12-27,0.869988
2007-01-03,0.874626
2007-01-10,0.854819
2007-01-17,0.859363
2007-01-24,0.851755
2007-01-31,0.86573
2007-02-07,0.855057
2007-02-14,0.867199
2007-02-21,0.869235
2007-02-28,0.877409
2007-03-07,0.864505
2007-03-14,0.876108
2007-03-21,0.863067
2007-03-28,0.869803
2007-04-04,0.862319
2007-04-11,0.865441
2007-04-18,0.861335
2007-04-25,0.879686
2007-05-02,0.890857
2007-05-09,0.87527
2007-05-16,0.859559
2007-05-23,0.873935
2007-05-30,0.876986
2007-06-06,0.872706
2007-06-13,0.864989
2007-06-20,0.866089
2007-06-27,0.865105
2007-07-04,0.876611
2007-07-11,0.869407
2007-07-18,0.872916
2007-07-25,0.86389
2007-08-01,0.870261
2007-08-08,0.865453
2007-08-15,0.864931
2007-08-22,0.862775
2007-08-29,0.872873
2007-09-05,0.871156
2007-09-12,0.886314
2007-09-19,0.867732
2007-09-26,0.8899
2007-10-03,0.869051
2007-10-10,0.886363
2007-10-17,0.869509
2007-10-24,0.881395
2007-10-31,0.883385
2007-11-07,0.885724
2007-11-14,0.889537
2007-11-21,0.891028
2007-11-28,0.879417
2007-12-05,0.882764
2007-12-12,0.88175
2007-12-19,0.887983
2007-12-26,0.890662
2008-01-02,0.922187
2008-01-09,0.880754
2008-01-16,0.893581
2008-01-23,0.877253
2008-01-30,0.900264
2008-02-06,0.871022
2008-02-13,0.883005
2008-02-20,0.878949
2008-02-27,0.893825
2008-03-05,0.881208
2008-03-12,0.896565
2008-03-19,0.888646
2008-03-26,0.893965
2008-04-02,0.883708
2008-04-09,0.893029
2008-04-16,0.881904
2008-04-23,0.885781
2008-04-30,0.888131
2008-05-07,0.889228
2008-05-14,0.880175
2008-05-21,0.898487
2008-05-28,0.904054
2008-06-04,0.895939
2008-06-11,0.89061
2008-06-18,0.902304
2008-06-25,0.892713
2008-07-02,0.902962
2008-07-09,0.898034
2008-07-16,0.910681
2008-07-23,0.899665
2008-07-30,0.918625
2008-08-06,0.90171
2008-08-13,0.914632
2008-08-20,0.898611
2008-08-27,0.909982
2008-09-03,0.905253
2008-09-10,0.925725
2008-09-17,0.995093
2008-09-24,1.211825
2008-10-01,1.503989
2008-10-08,1.591587
2008-10-15,1.770809
2008-10-22,1.802602
2008-10-29,1.969086
2008-11-05,2.074205
2008-11-12,2.212852
2008-11-19,2.187137
2008-11-26,2.106117
2008-12-03,2.136924
2008-12-10,2.250012
2008-12-17,2.254983
2008-12-24,2.232311
2008-12-31,2.239457
2009-01-07,2.121439
2009-01-14,2.049714
2009-01-21,2.037112
2009-01-28,1.927082
2009-02-04,1.851437
2009-02-11,1.8434
2009-02-18,1.915562
2009-02-25,1.916115
2009-03-04,1.901317
2009-03-11,1.899514
2009-03-18,2.066942
2009-03-25,2.071556
2009-04-01,2.078936
2009-04-08,2.088573
2009-04-15,2.186498
2009-04-22,2.196812
2009-04-29,2.066712
2009-05-06,2.079758
2009-05-13,2.196351
2009-05-20,2.181632
2009-05-27,2.080115
2009-06-03,2.077695
2009-06-10,2.052297
2009-06-17,2.072527
2009-06-24,2.025571
2009-07-01,2.005627
2009-07-08,1.99274
2009-07-15,2.072451
2009-07-22,2.039001
2009-07-29,2.000547
2009-08-05,1.989203
2009-08-12,2.014899
2009-08-19,2.060641
2009-08-26,2.074902
2009-09-02,2.08372
2009-09-09,2.087946
2009-09-16,2.139783
2009-09-23,2.158631
2009-09-30,2.14102
2009-10-07,2.138086
2009-10-14,2.192787
2009-10-21,2.201119
2009-10-28,2.161537
2009-11-04,2.165067
2009-11-11,2.135035
2009-11-18,2.208721
2009-11-25,2.206359
2009-12-02,2.204074
2009-12-09,2.186383
2009-12-16,2.235763
2009-12-23,2.235803
