date,google_trends_btc
2015-01-01,3
2015-02-01,3
2015-03-01,3
2015-04-01,2
2015-05-01,2
2015-06-01,2
2015-07-01,3
2015-08-01,3
2015-09-01,2
2015-10-01,3
2015-11-01,4
2015-12-01,4
2016-01-01,3
2016-02-01,3
2016-03-01,3
2016-04-01,3
2016-05-01,4
2016-06-01,5
2016-07-01,3
2016-08-01,3
2016-09-01,3
2016-10-01,3
2016-11-01,4
2016-12-01,5
2017-01-01,6
2017-02-01,6
2017-03-01,7
2017-04-01,6
2017-05-01,15
2017-06-01,15
2017-07-01,13
2017-08-01,21
2017-09-01,21
2017-10-01,22
2017-11-01,45
2017-12-01,100
2018-01-01,54
2018-02-01,42
2018-03-01,24
2018-04-01,18
2018-05-01,14
2018-06-01,13
2018-07-01,13
2018-08-01,13
2018-09-01,12
2018-10-01,9
2018-11-01,14
2018-12-01,13
2019-01-01,9
2019-02-01,9
2019-03-01,9
2019-04-01,12
2019-05-01,16
2019-06-01,20
2019-07-01,18
2019-08-01,16
2019-09-01,13
2019-10-01,13
2019-11-01,11
2019-12-01,11
2020-01-01,13
2020-02-01,14
2020-03-01,19
2020-04-01,15
2020-05-01,20
2020-06-01,14
2020-07-01,14
2020-08-01,16
2020-09-01,13
2020-10-01,13
2020-11-01,23
2020-12-01,31
2021-01-01,64
2021-02-01,66
2021-03-01,47
2021-04-01,49
2021-05-01,66
2021-06-01,46
2021-07-01,31
2021-08-01,32
2021-09-01,30
2021-10-01,37
2021-11-01,35
2021-12-01,35
2022-01-01,41
2022-02-01,35
2022-03-01,29
2022-04-01,23
2022-05-01,36
2022-06-01,40
2022-07-01,29
2022-08-01,22
2022-09-01,21
2022-10-01,17
2022-11-01,26
2022-12-01,19
2023-01-01,20
2023-02-01,19
2023-03-01,22
2023-04-01,20
2023-05-01,18
2023-06-01,19
2023-07-01,18
2023-08-01,17
2023-09-01,16
2023-10-01,19
2023-11-01,19
2023-12-01,24
2024-01-01,29
2024-02-01,25
2024-03-01,41
2024-04-01,31
2024-05-01,22
2024-06-01,19
2024-07-01,21
2024-08-01,23
2024-09-01,18
2024-10-01,18
2024-11-01,46
2024-12-01,40
