date,lth_supply
2010-07-20,1840270.3
2010-07-21,1843444.3
2010-07-22,1876727.54
2010-07-23,1883977.54
2010-07-24,1889277.54
2010-07-25,1895227.54
2010-07-26,1889979.11
2010-07-27,1896929.11
2010-07-28,1904429.11
2010-07-29,1911379.11
2010-07-30,1923129.11
2010-07-31,1934767.56
2010-08-01,1938568.56
2010-08-02,1948418.56
2010-08-03,1955268.56
2010-08-04,1960018.56
2010-08-05,1969918.56
2010-08-06,1976118.56
2010-08-07,1978318.56
2010-08-08,2004615.05
2010-08-09,2014969.87
2010-08-10,2017504.2
2010-08-11,2022154.2
2010-08-12,2028804.2
2010-08-13,2033804.2
2010-08-14,2037904.2
2010-08-15,2042504.2
2010-08-16,2046204.2
2010-08-17,2050504.2
2010-08-18,2053704.2
2010-08-19,2058054.2
2010-08-20,2062794.2
2010-08-21,2070494.2
2010-08-22,2076363.2
2010-08-23,2081565.2
2010-08-24,2088515.2
2010-08-25,2095218.62
2010-08-26,2100518.62
2010-08-27,2105968.62
2010-08-28,2113966.48
2010-08-29,2119166.48
2010-08-30,2124416.48
2010-08-31,2131616.48
2010-09-01,2137216.48
2010-09-02,2143116.48
2010-09-03,2146766.48
2010-09-04,2152116.48
2010-09-05,2155166.04
2010-09-06,2161316.04
2010-09-07,2169766.04
2010-09-08,2178616.04
2010-09-09,2188069.14
2010-09-10,2192622.88
2010-09-11,2196825.68
2010-09-12,2201875.95
2010-09-13,2211345.95
2010-09-14,2216595.95
2010-09-15,2222005.94
2010-09-16,2227655.94
2010-09-17,2210485.14
2010-09-18,2217703.49
2010-09-19,2222753.49
2010-09-20,2231553.91
2010-09-21,2237109.51
2010-09-22,2244259.51
2010-09-23,2249253.51
2010-09-24,2264080.59
2010-09-25,2267893.65
2010-09-26,2279439.71
2010-09-27,2268364.71
2010-09-28,2225103.73
2010-09-29,2229415.75
2010-09-30,2235815.85
2010-10-01,2216965.85
2010-10-02,2226465.85
2010-10-03,2232017.85
2010-10-04,2233827.44
2010-10-05,2215130.95
2010-10-06,2218680.95
2010-10-07,2220430.95
2010-10-08,2222180.95
2010-10-09,2223730.95
2010-10-10,2226131.21
2010-10-11,2228831.21
2010-10-12,2232832.21
2010-10-13,2219832.27
2010-10-14,2230982.27
2010-10-15,2230632.77
2010-10-16,2218790.32
2010-10-17,2219665.32
2010-10-18,2221717.96
2010-10-19,2225217.96
2010-10-20,2228117.96
2010-10-21,2232621.87
2010-10-22,2236171.87
2010-10-23,2263021.87
2010-10-24,2265973.57
2010-10-25,2271773.57
2010-10-26,2276583.57
2010-10-27,2279293.57
2010-10-28,2278792.57
2010-10-29,2288576.52
2010-10-30,2295626.52
2010-10-31,2300326.52
2010-11-01,2301919.32
2010-11-02,2305819.32
2010-11-03,2309346.02
2010-11-04,2312346.02
2010-11-05,2313073.9
2010-11-06,2316910.9
2010-11-07,2319610.9
2010-11-08,2322940.9
2010-11-09,2325490.9
2010-11-10,2331690.9
2010-11-11,2349235.14
2010-11-12,2362603.52
2010-11-13,2366117.52
2010-11-14,2367817.52
2010-11-15,2339718.82
2010-11-16,2347066.83
2010-11-17,2355543.84
2010-11-18,2358523.92
2010-11-19,2362642.66
2010-11-20,2365597.67
2010-11-21,2389845.67
2010-11-22,2393305.67
2010-11-23,2395186.67
2010-11-24,2395739.59
2010-11-25,2398629.59
2010-11-26,2407680.59
2010-11-27,2414505.59
2010-11-28,2419733.96
2010-11-29,2424418.96
2010-11-30,2427329.96
2010-12-01,2431904.99
2010-12-02,2431606.37
2010-12-03,2436225.37
2010-12-04,2439279.38
2010-12-05,2442954.38
2010-12-06,2446753.88
2010-12-07,2446359.89
2010-12-08,2456419.89
2010-12-09,2460019.38
2010-12-10,2463052.72
2010-12-11,2469191.72
2010-12-12,2473776.53
2010-12-13,2478110.58
2010-12-14,2525269.51
2010-12-15,2555327.8
2010-12-16,2581551.0
2010-12-17,2617693.28
2010-12-18,2644975.39
2010-12-19,2653860.34
2010-12-20,2650113.76
2010-12-21,2633384.66
2010-12-22,2641019.67
2010-12-23,2649254.03
2010-12-24,2656424.51
2010-12-25,2666385.43
2010-12-26,2694971.5
2010-12-27,2702421.99
2010-12-28,2715247.84
2010-12-29,2720916.34
2010-12-30,2729133.94
2010-12-31,2733785.3
2011-01-01,2744019.37
2011-01-02,2748323.54
2011-01-03,2755154.24
2011-01-04,2762935.67
2011-01-05,2768284.93
2011-01-06,2774312.35
2011-01-07,2783328.97
2011-01-08,2786269.91
2011-01-09,2790127.19
2011-01-10,2794257.35
2011-01-11,2787866.9
2011-01-12,2796723.93
2011-01-13,2804526.36
2011-01-14,2810256.31
2011-01-15,2824961.76
2011-01-16,2826878.23
2011-01-17,2833767.23
2011-01-18,2839088.95
2011-01-19,2838180.81
2011-01-20,2841675.88
2011-01-21,2845328.5
2011-01-22,2851802.91
2011-01-23,2857091.0
2011-01-24,2859342.39
2011-01-25,2865107.28
2011-01-26,2861870.5
2011-01-27,2864729.0
2011-01-28,2863777.64
2011-01-29,2858042.93
2011-01-30,2863428.5500003
2011-01-31,2865995.1200003
2011-02-01,2867378.9900008
2011-02-02,2871191.720001
2011-02-03,2875633.8300014
2011-02-04,2878584.9600015
2011-02-05,2881226.7600015
2011-02-06,2884658.0000015
2011-02-07,2886485.7800015
2011-02-08,2891583.7000015
2011-02-09,2894716.2700015
2011-02-10,2897971.5500016
2011-02-11,2893363.3300016
2011-02-12,2900652.6300017
2011-02-13,2903160.6200017
2011-02-14,2881678.2200019
2011-02-15,2883550.8900019
2011-02-16,2888839.3700019
2011-02-17,2894087.08039838
2011-02-18,2899333.50039838
2011-02-19,2901479.94039838
2011-02-20,2915669.57039838
2011-02-21,2923066.4200019
2011-02-22,2927371.8400019
2011-02-23,2931785.0300019
2011-02-24,2934185.0600019
2011-02-25,2943631.3800019
2011-02-26,2933260.9000019
2011-02-27,2934474.8500019
2011-02-28,2938278.9000019
2011-03-01,2938696.3400019
2011-03-02,2955982.340162
2011-03-03,2964336.650162
2011-03-04,2966830.470162
2011-03-05,2965066.49102412
2011-03-06,2981107.55102412
2011-03-07,2982315.39102412
2011-03-08,2990306.63102412
2011-03-09,2996363.55102412
2011-03-10,3002403.32102412
2011-03-11,3004826.53102412
2011-03-12,3008533.68102412
2011-03-13,3029223.81102412
2011-03-14,3037057.27102412
2011-03-15,3038530.02102412
2011-03-16,3038894.13102412
2011-03-17,3040426.45102412
2011-03-18,3044395.90102412
2011-03-19,3049537.42102412
2011-03-20,3053919.12102412
2011-03-21,3055766.09102412
2011-03-22,3069954.87102412
2011-03-23,3076954.58142
2011-03-24,3064618.08142
2011-03-25,3074086.02918615
2011-03-26,3077621.31918615
2011-03-27,3075845.14918615
2011-03-28,3079826.56918615
2011-03-29,3088281.72918615
2011-03-30,3114670.57918615
2011-03-31,3125548.42918615
2011-04-01,3129504.00918615
2011-04-02,3133602.72918615
2011-04-03,3136910.73918615
2011-04-04,3129021.39918575
2011-04-05,3130711.45918575
2011-04-06,3139679.44918575
2011-04-07,3142101.47918575
2011-04-08,3148855.18918575
2011-04-09,3158911.21918575
2011-04-10,3164149.36918575
2011-04-11,3166536.50918575
2011-04-12,3227610.46918575
2011-04-13,3233511.83918575
2011-04-14,3237856.52918575
2011-04-15,3237603.25918575
2011-04-16,3229258.70918575
2011-04-17,3233578.98918575
2011-04-18,3236228.39918575
2011-04-19,3238755.90918575
2011-04-20,3244978.42918575
2011-04-21,3249072.89918575
2011-04-22,3254235.93918575
2011-04-23,3253434.50918575
2011-04-24,3253799.71918575
2011-04-25,3254409.21918575
2011-04-26,3254187.65918575
2011-04-27,3255719.32918575
2011-04-28,3254351.91918575
2011-04-29,3254269.69918575
2011-04-30,3303312.15918575
2011-05-01,3300585.30918575
2011-05-02,3296741.36918575
2011-05-03,3293528.65918575
2011-05-04,3305077.02918575
2011-05-05,3306039.11918575
2011-05-06,3307467.61918575
2011-05-07,3305861.09918575
2011-05-08,3306702.01213884
2011-05-09,3303592.60213884
2011-05-10,3298462.37213884
2011-05-11,3292426.71304611
2011-05-12,3248427.16304611
2011-05-13,3233592.0330472
2011-05-14,3227608.4530472
2011-05-15,3242272.481248
2011-05-16,3200711.92521697
2011-05-17,3213430.18465843
2011-05-18,3211146.73318516
2011-05-19,3203231.05317054
2011-05-20,3198355.81813522
2011-05-21,3195608.06914644
2011-05-22,3205475.67170168
2011-05-23,3237428.43170168
2011-05-24,3231112.19170168
2011-05-25,3228482.49950372
2011-05-26,3235638.60950372
2011-05-27,3234611.67665246
2011-05-28,3237933.85665246
2011-05-29,3238863.76665246
2011-05-30,3232046.25665246
2011-05-31,3246418.86660863
2011-06-01,3246571.66660863
2011-06-02,3230955.5823543
2011-06-03,3193175.04045374
2011-06-04,3191507.78494693
2011-06-05,3166909.94494693
2011-06-06,3168547.71494693
2011-06-07,3163920.54494693
2011-06-08,3106990.21494693
2011-06-09,3098510.64868154
2011-06-10,3081210.58587764
2011-06-11,3050755.33650021
2011-06-12,3052296.6893208
2011-06-13,3022010.8093208
2011-06-14,2954411.84865125
2011-06-15,2874233.53865125
2011-06-16,2834840.59865125
2011-06-17,2834311.63768617
2011-06-18,2854555.41087065
2011-06-19,2842014.42827536
2011-06-20,2852814.05209232
2011-06-21,2876972.32147294
2011-06-22,2887169.92108165
2011-06-23,2891012.43108165
2011-06-24,2895896.99164019
2011-06-25,2900539.56720585
2011-06-26,2883192.41900233
2011-06-27,2856034.85900233
2011-06-28,2849836.90482992
2011-06-29,2846318.86482992
2011-06-30,2854021.03482992
2011-07-01,2853576.40482992
2011-07-02,2854796.35482992
2011-07-03,2857465.75984701
2011-07-04,2858623.35743955
2011-07-05,2856043.70743955
2011-07-06,2866569.43743955
2011-07-07,2865579.05743955
2011-07-08,2874083.30743955
2011-07-09,2878980.0131825
2011-07-10,2867103.81510773
2011-07-11,2865754.86510773
2011-07-12,2869748.85510773
2011-07-13,2873019.42510773
2011-07-14,2875520.87510773
2011-07-15,2884677.51510773
2011-07-16,2890659.42510773
2011-07-17,2897524.73510773
2011-07-18,2898145.69328748
2011-07-19,2903270.84328748
2011-07-20,2908511.93328748
2011-07-21,2912712.38328748
2011-07-22,2915499.62674941
2011-07-23,2922320.93674941
2011-07-24,2922735.72674941
2011-07-25,2935392.67674941
2011-07-26,2936742.52674941
2011-07-27,2939931.24221763
2011-07-28,2943274.12221763
2011-07-29,2945477.70221763
2011-07-30,2949433.73221763
2011-07-31,2954055.43221763
2011-08-01,2968463.05366612
2011-08-02,2997299.31624896
2011-08-03,3175878.38624896
2011-08-04,3316650.12830047
2011-08-05,3317589.59980047
2011-08-06,3321036.85980046
2011-08-07,3322693.48980047
2011-08-08,3331866.02980047
2011-08-09,3335968.51050047
2011-08-10,3337887.51050047
2011-08-11,3339845.50050047
2011-08-12,3341058.98165578
2011-08-13,3342088.26165578
2011-08-14,3361731.05165578
2011-08-15,3364198.06665578
2011-08-16,3380910.23665578
2011-08-17,3388216.22731114
2011-08-18,3395072.86731114
2011-08-19,3401500.65731114
2011-08-20,3411444.35731114
2011-08-21,3414775.30731114
2011-08-22,3416097.081962
2011-08-23,3423001.531962
2011-08-24,3426216.842162
2011-08-25,3390011.96313352
2011-08-26,3385166.21341928
2011-08-27,3389290.51341928
2011-08-28,3388681.14352927
2011-08-29,3382471.41352927
2011-08-30,3384262.25352927
2011-08-31,3385949.68352927
2011-09-01,3392052.48487929
2011-09-02,3392434.63536505
2011-09-03,3394490.36536505
2011-09-04,3415855.95536505
2011-09-05,3416334.18484647
2011-09-06,3414654.52484647
2011-09-07,3413685.06484647
2011-09-08,3411529.3844998
2011-09-09,3393647.9644998
2011-09-10,3396000.50498556
2011-09-11,3396479.14508556
2011-09-12,3397701.99508556
2011-09-13,3399784.26075385
2011-09-14,3391984.57954658
2011-09-15,3393142.85374658
2011-09-16,3394803.07374658
2011-09-17,3399098.95274658
2011-09-18,3402020.55323234
2011-09-19,3402948.96323234
2011-09-20,3404109.42323234
2011-09-21,3407110.36527581
2011-09-22,3411609.49328171
2011-09-23,3413761.39374604
2011-09-24,3418520.64374603
2011-09-25,3422515.20374603
2011-09-26,3432756.94394603
2011-09-27,3437576.18394603
2011-09-28,3440180.50394603
2011-09-29,3449639.5327998
2011-09-30,3456544.7712367
2011-10-01,3461610.02586036
2011-10-02,3467659.4159997
2011-10-03,3473917.03215827
2011-10-04,3477403.46010759
2011-10-05,3484083.00164539
2011-10-06,3567312.11058437
2011-10-07,3571101.99021966
2011-10-08,3575813.48179217
2011-10-09,3578383.45218107
2011-10-10,3581191.86538243
2011-10-11,3591308.527021
2011-10-12,3602310.05196896
2011-10-13,3610948.66813124
2011-10-14,3616810.09756008
2011-10-15,3623704.71111316
2011-10-16,3626584.04117591
2011-10-17,3610780.03445759
2011-10-18,3614186.11649431
2011-10-19,3622124.8634878
2011-10-20,3625402.44128416
2011-10-21,3629300.80473861
2011-10-22,3638250.93873801
2011-10-23,3644192.75658255
2011-10-24,3648363.74894053
2011-10-25,3654287.11328407
2011-10-26,3665388.91103929
2011-10-27,3669711.67468046
2011-10-28,3677901.04066871
2011-10-29,3686046.69072045
2011-10-30,3687134.51928043
2011-10-31,3700031.20374773
2011-11-01,3711430.17498479
2011-11-02,3729999.0958329
2011-11-03,3736952.47218516
2011-11-04,3743277.57824521
2011-11-05,3813180.59502816
2011-11-06,3831580.02949696
2011-11-07,3852815.26917245
2011-11-08,3861262.70379257
2011-11-09,3866954.91481849
2011-11-10,3925766.57770628
2011-11-11,3960651.48827422
2011-11-12,3977505.98747485
2011-11-13,3993394.41615284
2011-11-14,4011319.07409191
2011-11-15,4018552.05690587
2011-11-16,4206713.20054772
2011-11-17,4236263.77204307
2011-11-18,4301311.25332847
2011-11-19,4319352.49360894
