Complexity,Loss,Equation
1,2.6564526e8,"13314.966"
3,1.9575283e8,"x0 / 0.23828582"
5,1.1660414e8,"(x0 * 14.472756) + -39506.484"
7,1.0859516e8,"((x0 + -2711.6873) * x0) * 0.0032086843"
9,1.07644936e8,"(x0 + -1608.0258) * ((x0 + -2610.7812) * 0.0046995995)"
10,1.0667787e8,"((x0 * (log(x0) + -8.774503)) + 2367.2659) * 35.19037"
11,1.0553814e8,"(((x0 + -2754.9004) * (x0 + -2406.6912)) * 32.296585) / x0"
13,1.040589e8,"((x0 + -2433.4998) * (x0 + -2979.0217)) * ((79.40568 / x0) - 0.009017821)"
16,9.75152e7,"exp(((((0.015755372 / x0) - 2.4867975e-6) * x0) * (x0 + -3003.0325)) * 0.273079) * x0"
18,9.7474776e7,"exp(((0.015755372 / (x0 + -1.1674107)) - 2.4867975e-6) * ((-3003.0325 + x0) * (0.273079 * x0))) * x0"
20,9.138003e7,"x0 * exp((((0.015755372 / x0) - 2.4867975e-6) * 0.29045972) * ((x0 + (x0 - 4876.4517)) * (x0 + -3003.0325)))"
