Complexity,Loss,Equation
1,2.6564526e8,"13315.006"
3,1.9575283e8,"x0 * 4.1966653"
5,1.1660413e8,"(x0 * 14.473193) + -39506.43"
6,1.081306e8,"exp((-17106.307 / x0) + 13.949968)"
8,1.0300077e8,"exp((-4220.086 / (x0 + -2187.8096)) + 12.0296955)"
10,1.01863016e8,"exp((-5049.196 / (x0 - 2179.5034)) + 20.822802) / x0"
12,1.0185989e8,"exp((-5049.196 / (x0 - 2179.5034)) + 20.822802) / (x0 - -1.0433081)"
14,1.0185566e8,"exp((-5049.196 / (x0 - 2179.5034)) + 20.822802) / ((x0 - -1.1763752) - -1.3044006)"
15,1.0185458e8,"exp((-5049.196 / (x0 - 2179.5034)) + 20.822802) / (x0 - (-0.96003103 - exp(0.64045084)))"
16,1.01817704e8,"exp((-5049.196 / ((x0 + -1.8176011) - 2179.5034)) + 20.822802) / (x0 - (-1.1763752 - 1.1862028))"
18,9.474748e7,"(x0 + 7264.2817) * exp(((-6053.17 / (x0 - 2092.5303)) - (-3224.7158 / (x0 - 7031.7007))) + 4.7199616)"
20,8.150582e7,"((exp((-6053.17 / (x0 - 2092.5303)) + 4.7199616) - (-3224.7158 / ((x0 - 7031.7007) + 1746.6919))) * x0) + 7264.2817"
