Complexity,Loss,Equation
1,1.05916506e9,"29744.953"
3,6.35308e8,"x0 * 8.093693"
4,5.502677e8,"exp(x0 / 539.6931)"
5,2.9138355e8,"-67992.15 - (x0 * -22.729483)"
6,2.0529819e8,"exp((-21552.268 / x0) + 14.8596945)"
8,2.052148e8,"exp((-21974.58 / x0) + 14.926339) + 578.3222"
10,2.0518874e8,"(x0 * 0.27288023) + exp((-22296.164 / x0) + 14.966127)"
12,2.0514805e8,"(x0 + (exp((-22593.02 / x0) + 14.936772) + -1963.7804)) * 1.0420794"
14,2.0513864e8,"exp((-22408.291 / x0) + 14.959657) + ((x0 + (x0 / -22589.723)) + -2410.5789)"
18,2.0496398e8,"((x0 + exp((-16955.69 / (x0 - 1023.79095)) + 12.972264)) * (log(log(x0)) + 2.2182634)) + -10265.341"
20,2.0496214e8,"((log(log(x0)) + 4.5651717) * (exp((-16955.69 / (x0 - 1023.7928)) + 12.553677) + (x0 / 1.5648366))) + -10265.341"
