Complexity,Loss,Equation
1,2.6564526e8,"13315.085"
3,1.9575283e8,"x0 * 4.196645"
4,1.8984891e8,"exp(x0 / 468.7025)"
5,1.1660413e8,"(x0 * 14.473221) - 39506.547"
6,1.08022424e8,"exp((-17721.867 / x0) - -14.08667)"
8,1.0326733e8,"exp((-4444.8613 / (x0 + -2180.9998)) - -12.089325)"
12,1.0244487e8,"exp((885.6042 / ((x0 / (-24138.904 / x0)) - -198.09418)) - -11.571213)"
14,1.02279816e8,"exp((885.6042 / ((x0 / (-24138.904 / x0)) - -198.09418)) - -11.571213) + 238.49245"
15,8.097902e7,"exp((252.31606 / (-22685.4 / x0)) - (383.1655 - (log(x0) * 51.734985))) * x0"
17,8.096602e7,"(exp((252.31606 / (-22685.4 / x0)) - (383.1655 - (log(x0) * 51.734985))) * x0) + 51.734985"
19,8.096571e7,"0.898413 + (x0 * exp((252.31606 / (-22685.4 / x0)) - (383.1655 - (log(x0 - 0.47651628) * 51.734985))))"
